posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1,19:49:30,00:00:00,Kilian JORNET BURGADA,NNORMAL,España,M,SENIOR,utmb,2022
2,19:54:50,00:05:20,Mathieu BLANCHARD,SALOMON,Francia,M,SENIOR,utmb,2022
3,20:34:36,00:45:06,Thomas EVANS,ADIDAS TERREX ,Reino Unido,M,SENIOR,utmb,2022
4,21:12:12,01:22:42,Jim WALMSLEY,HOKA,Estados Unidos,M,SENIOR,utmb,2022
5,21:27:50,01:38:20,Zach MILLER,THE NORTH FACE,Estados Unidos,M,SENIOR,utmb,2022
6,21:28:15,01:38:45,Beñat MARMISSOLLE,TEAM ASICS,Francia,M,VET-A,utmb,2022
7,21:35:46,01:46:16,Joyeux,COMPRESSPORT,Francia,M,SENIOR,utmb,2022
8,21:46:17,01:56:47,Jonas RUSSI,HOKA ,Suiza,M,SENIOR,utmb,2022
9,22:07:58,02:18:28,Robert HAJNAL,ALTRA - UGLOW,Rumania,M,SENIOR,utmb,2022
10,22:09:19,02:19:49,Thibaut GARRIVIER,HOKA ONE ONE,Francia,M,SENIOR,utmb,2022
11,22:24:29,02:34:59,Andrew SYMONDS,SCOTT RUNNING,Reino Unido,M,VET-A,utmb,2022
12,22:26:34,02:37:04,Thibault MARQUET,CMAB,Francia,M,SENIOR,utmb,2022
13,22:27:40,02:38:10,Alban BERSON,ALTRA,Francia,M,VET-A,utmb,2022
14,22:36:11,02:46:41,Jimmy ELAM,ALTRA,Estados Unidos,M,SENIOR,utmb,2022
15,22:40:06,02:50:36,Guillaume DENEFFE,TRAKKS BELGIUM,Bélgica,M,SENIOR,utmb,2022
16,22:52:01,03:02:31,Jeff MOGAVERO,HOKA,Estados Unidos,M,SENIOR,utmb,2022
17,22:54:25,03:04:55,Jhon BARRERA,NONE,Colombia,M,SENIOR,utmb,2022
18,22:55:31,03:06:01,Alexandre BOUCHEIX,CASQUETTE VERTE,Francia,M,SENIOR,utmb,2022
19,23:03:43,03:14:13,Mark DARBYSHIRE,NONE,Reino Unido,M,VET-A,utmb,2022
20,23:04:39,03:15:09,Guomin DENG,THENORTHFACE & SUUNTO,China,M,SENIOR,utmb,2022
21,23:11:44,03:22:14,Alexandre BERAUD,TEAM MERRELL PROVENCE ENDURANCE,Francia,M,SENIOR,utmb,2022
22,23:15:12,03:25:42,Katie SCHIDE,NONE,Estados Unidos,F,SENIOR,utmb,2022
23,23:28:35,03:39:05,Rod FARVARD,"BUFF, ULTIMATE DIRECTION",Estados Unidos,M,SENIOR,utmb,2022
